step,loss,smooth_loss,lr,tokens_seen,tokens_per_sec,grad_norm,elapsed_sec,vram_used_gb,vram_peak_gb,timestamp
1920,4.719305,4.918298,0.0005984545075617167,98355200,1718.6,0.528,5830.7,3.93,12.8,2026-04-18T07:06:20.656175
1930,4.369705,4.906706,0.0005984207602725251,98867200,1716.8,0.4778,5860.5,3.93,12.8,2026-04-18T07:06:50.478561
1940,4.44344,4.899294,0.0005983866495805327,99379200,1718.0,0.5659,5890.3,3.93,12.8,2026-04-18T07:07:20.280300
1950,4.316426,4.888415,0.0005983521755319203,99891200,1716.8,0.5616,5920.1,3.93,12.8,2026-04-18T07:07:50.102637
1960,4.526518,4.880285,0.000598317338173361,100403200,1717.9,0.5431,5949.9,3.93,12.8,2026-04-18T07:08:19.905802
1970,4.453007,4.870288,0.0005982821375520194,100915200,1717.7,0.6444,5979.7,3.93,12.8,2026-04-18T07:08:49.713038
1980,4.489289,4.864283,0.0005982465737155518,101427200,1717.5,0.4934,6009.6,3.93,12.8,2026-04-18T07:09:19.522936
1990,4.487171,4.856081,0.000598210646712107,101939200,1718.7,0.4432,6039.3,3.93,12.8,2026-04-18T07:09:49.312181
2000,4.66699,4.850865,0.0005981743565903246,102451200,1716.7,0.6929,6069.2,3.93,12.8,2026-04-18T07:10:19.136063
2010,4.533436,4.842298,0.0005981377033993362,102963200,920.6,0.505,6124.8,3.93,12.8,2026-04-18T07:11:14.749939
2020,4.155234,4.831353,0.0005981006871887649,103475200,1717.9,1.2599,6154.6,3.93,12.8,2026-04-18T07:11:44.553523
2030,4.498652,4.824576,0.0005980633080087254,103987200,1717.8,0.4969,6184.4,3.93,12.8,2026-04-18T07:12:14.359436
2040,4.480628,4.817785,0.0005980255659098236,104499200,1716.4,0.4974,6214.2,3.93,12.8,2026-04-18T07:12:44.188730
2050,4.419129,4.808793,0.0005979874609431569,105011200,1716.6,0.5954,6244.0,3.93,12.8,2026-04-18T07:13:14.014422
2060,4.452508,4.801462,0.0005979489931603138,105523200,1716.0,0.4844,6273.9,3.93,12.8,2026-04-18T07:13:43.851601
2070,4.799151,4.796664,0.0005979101626133742,106035200,1718.1,2.0745,6303.7,3.93,12.8,2026-04-18T07:14:13.652131
2080,4.573015,4.787836,0.000597870969354909,106547200,1713.4,0.5866,6333.6,3.93,12.8,2026-04-18T07:14:43.534680
2090,4.476315,4.78001,0.0005978314134379801,107059200,1717.0,0.4442,6363.4,3.93,12.8,2026-04-18T07:15:13.354651
2100,4.418369,4.773227,0.0005977914949161406,107571200,1715.9,0.5049,6393.2,3.93,12.8,2026-04-18T07:15:43.193246
